iter	RMSE
0	31.41950961
1	30.86028872
2	30.26983299
3	29.74740945
4	29.20287731
5	28.61626551
6	27.97036796
7	27.40566065
8	26.81158123
9	26.25244734
10	25.73845698
11	25.25841718
12	24.73109608
13	24.28226506
14	23.81292938
15	23.30941099
16	22.90190892
17	22.45463369
18	22.08200593
19	21.70714437
20	21.31172193
21	20.8620873
22	20.47633101
23	20.13061676
24	19.78117888
25	19.44444762
26	19.08121559
27	18.75065984
28	18.39489546
29	18.08102075
30	17.7364816
31	17.39201467
32	17.09316167
33	16.80043101
34	16.56829186
35	16.22710598
36	15.98657909
37	15.73536018
38	15.47535427
39	15.1828334
40	14.92102593
41	14.62922889
42	14.37918645
43	14.13265505
44	13.86125203
45	13.60830483
46	13.37848884
47	13.19171782
48	12.94464064
49	12.75000393
50	12.54188545
51	12.34540888
52	12.13005528
53	11.93293459
54	11.73961163
55	11.57469729
56	11.37770632
57	11.18349019
58	10.98525953
59	10.84751549
60	10.69984627
61	10.54020863
62	10.38726161
63	10.22206734
64	10.07557415
65	9.92978254
66	9.755953133
67	9.595626149
68	9.446933807
69	9.298251828
70	9.159048848
71	9.036851956
72	8.897973234
73	8.7635962
74	8.616933679
75	8.47858889
76	8.342452377
77	8.253841742
78	8.119077711
79	7.99771514
80	7.896174526
81	7.771514088
82	7.651483753
83	7.55170248
84	7.466492316
85	7.377090648
86	7.277900327
87	7.173753582
88	7.077015339
89	6.983559963
90	6.878389577
91	6.768881398
92	6.668962585
93	6.58330509
94	6.506815563
95	6.429590898
96	6.334110707
97	6.244563668
98	6.173326282
99	6.091686389
100	6.017331232
101	5.936211624
102	5.867014971
103	5.792953707
104	5.742852556
105	5.67775099
106	5.595565457
107	5.528153263
108	5.46064241
109	5.402328864
110	5.327247656
111	5.267817277
112	5.215797898
113	5.152321366
114	5.082158493
115	5.023030624
116	4.96729889
117	4.915121259
118	4.864637887
119	4.814191027
120	4.781144506
121	4.723823607
122	4.67078559
123	4.611924275
124	4.552639726
125	4.501933857
126	4.450224189
127	4.400011924
128	4.346121051
129	4.305920144
130	4.262304682
131	4.231516228
132	4.19470815
133	4.142467153
134	4.103299733
135	4.059457614
136	4.018271293
137	3.972873646
138	3.937738599
139	3.89837159
140	3.860732715
141	3.816249482
142	3.766918768
143	3.730967086
144	3.706616872
145	3.67909265
146	3.645810563
147	3.606206444
148	3.581092765
149	3.550554969
150	3.518002766
151	3.487735205
152	3.451289585
153	3.422273721
154	3.392100577
155	3.375310086
156	3.339193864
157	3.315620769
158	3.292462178
159	3.264192368
160	3.237216072
161	3.207563354
162	3.177009804
163	3.160297376
164	3.147028655
165	3.121370833
166	3.093653161
167	3.071021258
168	3.048876199
169	3.027881304
170	3.009056597
171	2.98599221
172	2.960686838
173	2.936919044
174	2.91769209
175	2.893378802
176	2.871570888
177	2.85374314
178	2.833018813
179	2.814053823
180	2.797011743
181	2.772981026
182	2.755895924
183	2.732093565
184	2.716587905
185	2.694861858
186	2.673456266
187	2.65353914
188	2.637602724
189	2.623589353
190	2.599107021
191	2.57879863
192	2.557600579
193	2.540217178
194	2.527695525
