iter	Passed	Remaining
0	0	516
1	0	415
2	1	369
3	1	344
4	1	335
5	1	324
6	2	317
7	2	312
8	2	308
9	3	304
10	3	302
11	3	299
12	3	296
13	4	294
14	4	293
15	4	292
16	5	290
17	5	290
18	5	290
19	5	289
20	6	287
21	6	286
22	6	286
23	7	285
24	7	283
25	7	284
26	7	283
27	8	283
28	8	282
29	8	282
30	9	283
31	9	284
32	9	284
33	10	286
34	10	287
35	10	288
36	11	292
37	11	293
38	11	294
39	12	294
40	13	320
41	13	318
42	14	317
43	14	316
44	14	314
45	15	313
46	15	312
47	15	311
48	15	310
49	16	308
50	16	309
51	17	309
52	17	309
53	17	310
54	18	310
55	18	310
56	18	310
57	19	309
58	19	307
59	19	306
60	19	305
61	20	304
62	20	303
63	20	303
64	21	302
65	21	302
66	21	301
67	21	300
68	22	299
69	22	298
70	22	298
71	23	297
72	23	296
73	23	295
74	23	294
75	24	293
76	24	292
77	24	292
78	25	291
79	25	291
80	25	290
81	25	290
82	26	289
83	26	289
84	26	288
85	27	288
86	27	287
87	27	287
88	28	286
89	28	286
90	28	285
91	28	283
92	28	282
93	29	281
94	29	282
95	29	282
96	30	282
97	30	281
98	30	281
99	31	281
100	31	281
101	31	281
102	32	280
103	32	279
104	32	279
105	33	279
106	33	278
107	33	277
108	33	277
109	34	276
110	34	275
111	34	275
112	35	274
113	35	274
114	35	274
115	35	274
116	36	273
117	36	273
118	36	273
119	37	273
120	37	272
121	37	272
122	38	272
123	38	272
124	38	272
125	39	272
126	39	272
127	39	271
128	40	271
129	40	271
130	40	271
131	41	270
132	41	270
133	41	270
134	42	270
135	42	270
136	42	270
137	43	269
138	43	269
139	43	269
140	44	268
141	45	272
142	45	272
143	45	271
144	45	271
145	46	270
146	46	270
147	46	270
148	47	269
149	47	268
150	47	268
151	48	268
152	48	268
153	48	268
154	49	267
155	49	267
156	49	266
157	49	266
158	50	266
159	50	265
160	50	265
161	51	264
162	51	264
163	51	263
164	51	263
165	52	262
166	52	262
167	52	261
168	53	261
169	53	260
170	53	260
171	54	260
172	54	259
173	54	259
174	55	259
175	55	259
176	55	258
177	56	258
178	56	258
179	56	258
180	57	258
181	57	257
182	57	257
183	57	256
184	58	256
185	58	255
186	58	255
187	59	255
188	59	254
189	59	254
190	59	253
191	60	253
192	60	252
193	61	255
194	61	255
195	62	254
196	62	254
197	62	253
198	62	253
199	63	252
200	63	252
201	63	251
202	64	251
203	64	251
204	64	250
205	64	250
206	65	249
207	65	249
208	65	248
209	65	248
210	66	247
211	66	247
212	66	247
213	67	246
214	67	246
215	67	245
216	68	245
217	68	244
218	68	244
219	68	244
220	69	243
221	69	243
222	69	242
223	69	242
224	70	241
225	70	241
226	70	241
227	71	240
228	71	240
229	71	239
230	71	239
231	72	239
232	72	238
233	72	238
234	73	238
235	73	238
236	73	238
237	74	237
238	74	237
239	75	237
240	75	237
241	75	237
242	76	236
243	76	236
244	76	236
245	77	236
246	77	235
247	77	235
248	77	234
249	78	234
250	78	234
251	78	233
252	78	233
253	79	232
254	79	232
255	79	232
256	80	232
257	80	231
258	80	231
259	81	230
260	81	230
261	81	230
262	82	229
263	82	229
264	82	229
265	82	228
266	83	228
267	83	227
268	83	227
269	84	227
270	84	226
271	84	226
272	84	225
273	85	225
274	85	225
275	85	224
276	85	224
277	86	224
278	86	223
279	86	223
280	87	222
281	87	222
282	87	222
283	88	221
284	88	221
285	88	221
286	88	220
287	89	220
288	89	220
289	89	219
290	90	219
291	90	218
292	90	218
293	90	218
294	91	218
295	91	217
296	91	217
297	92	216
298	92	216
299	92	216
300	92	215
301	93	215
302	93	215
303	93	214
304	94	214
305	94	213
306	94	213
307	94	213
308	95	212
309	95	212
310	95	212
311	96	211
312	96	211
313	96	211
314	96	210
315	97	210
316	97	210
317	97	209
318	98	209
319	98	209
320	98	209
321	99	208
322	99	208
323	99	208
324	100	208
325	100	207
326	100	207
327	101	207
328	101	207
329	101	206
330	102	206
331	102	206
332	102	205
333	103	205
334	103	205
335	103	205
336	104	204
337	104	204
338	104	204
339	105	204
340	105	203
341	105	203
342	106	203
343	106	203
344	106	202
345	107	203
346	108	203
347	108	203
348	108	202
349	108	202
350	109	201
351	109	201
352	109	201
353	110	200
354	110	200
355	110	200
356	110	199
357	111	199
358	111	199
359	111	198
360	112	198
361	112	198
362	112	198
363	113	197
